study,trial,seed,unknown_byte_count,unknown_bytes,unknown_bits,plaintext,key,ciphertext,status,satisfiable,correct,candidate_valid,recovered_key,build_time,solve_time,total_time,timeout_seconds,variables,clauses,error
pairs,1,2026092201,2,1;4,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.44973899999968125,26.083167832999607,26.53472895899904,120,20736,343408,
pairs,1,2026092201,2,1;5,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4849640829997952,69.46484320799937,69.95160787500026,120,20736,343408,
pairs,1,2026092201,2,1;6,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.44886666599995806,90.9489777079998,91.3996288340004,120,20736,343408,
pairs,1,2026092201,2,1;7,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4534653749997233,104.75360066699977,105.2088276250015,120,20736,343408,
pairs,1,2026092201,2,1;8,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.44677470799979346,18.851810915999522,19.304017958998884,120,20736,343408,
pairs,1,2026092201,2,1;9,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4677309590006189,59.219052000000374,59.68857037499947,120,20736,343408,
pairs,1,2026092201,2,1;10,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4475475840008585,48.35684712500006,48.806181916999776,120,20736,343408,
pairs,1,2026092201,2,1;11,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4473070000003645,53.7384382500004,54.187569165998866,120,20736,343408,
pairs,1,2026092201,2,1;12,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.5018880830011767,49.839917125000284,50.34366662499997,120,20736,343408,
pairs,1,2026092201,2,1;13,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4509036670006026,27.97410674999992,28.426752291999946,120,20736,343408,
pairs,1,2026092201,2,1;14,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.44616208399929747,75.58670187499956,76.03462666700034,120,20736,343408,
pairs,1,2026092201,2,1;15,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4474669159990299,31.42273408300025,31.871932374999233,120,20736,343408,
pairs,1,2026092201,2,2;3,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4479999579998548,62.29950383399955,62.74926795799911,120,20736,343408,
pairs,1,2026092201,2,2;4,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.45053283299967006,50.804762791998655,51.25711487500121,120,20736,343408,
pairs,1,2026092201,2,2;5,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.44737529099984386,65.03760570800114,65.48671104200002,120,20736,343408,
