study,trial,seed,unknown_byte_count,unknown_bytes,unknown_bits,plaintext,key,ciphertext,status,satisfiable,correct,candidate_valid,recovered_key,build_time,solve_time,total_time,timeout_seconds,variables,clauses,error
single,2,2026092202,1,1,8,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.47134395800003404,5.182441667000603,5.655555250000361,60,20736,343416,
single,2,2026092202,1,2,8,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.47415920899948105,6.150176207999721,6.6261146249999,60,20736,343416,
single,2,2026092202,1,3,8,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.4650223750004443,4.449986665999859,4.916745708000235,60,20736,343416,
single,2,2026092202,1,4,8,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.4475198330001149,5.645737083000313,6.095040791999963,60,20736,343416,
single,2,2026092202,1,5,8,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.4500730420004402,6.150489540999843,6.60228166700017,60,20736,343416,
single,2,2026092202,1,6,8,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.48366887499923905,6.405910208999558,6.891470708999805,60,20736,343416,
single,2,2026092202,1,7,8,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.46958216599978186,6.736612874999992,7.207912832999682,60,20736,343416,
single,2,2026092202,1,8,8,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.45171525000023394,7.040593167000225,7.494056125000498,60,20736,343416,
single,2,2026092202,1,9,8,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.45850120799968863,6.391439625000203,6.851659375000054,60,20736,343416,
single,2,2026092202,1,10,8,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.45833595800013427,5.9538331250005285,6.413964874999692,60,20736,343416,
single,2,2026092202,1,11,8,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.45840429100007896,6.375945624999986,6.8360639170005015,60,20736,343416,
single,2,2026092202,1,12,8,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.45454995799991593,6.145856333999291,6.602140709000196,60,20736,343416,
single,2,2026092202,1,13,8,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.45972600000004604,6.340802832999543,6.802245207999476,60,20736,343416,
