row_type,experiment,kat,position_mode,trial,seed,divide_trial,divide_seed,unknown_bits,known_bits,split_bits,split_positions,max_workers,branch_id,assignment,branch_order,status,satisfiable,correct,recovered_key,solve_time,experiment_wall_time,baseline_solve_time,variables,clauses
branch,count1089_random1_20_split5_divide1_workers4,count1089,random,1,20262917,1,20260919,20,108,5,28;33;71;76;97,4,00000,00000,25,UNSAT,False,False,,250.8973224999936,1596.0869466660079,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide1_workers4,count1089,random,1,20262917,1,20260919,20,108,5,28;33;71;76;97,4,11101,11101,27,UNSAT,False,False,,214.0444131250115,1670.6378423330025,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide1_workers4,count1089,random,1,20262917,1,20260919,20,108,5,28;33;71;76;97,4,01101,01101,28,UNSAT,False,False,,201.9287254580122,1675.3857096249994,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide1_workers4,count1089,random,1,20262917,1,20260919,20,108,5,28;33;71;76;97,4,11111,11111,26,UNSAT,False,False,,312.54527845801204,1743.0295333329996,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide1_workers4,count1089,random,1,20262917,1,20260919,20,108,5,28;33;71;76;97,4,00001,00001,31,UNSAT,False,False,,193.99797295800818,1869.4741439159989,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide1_workers4,count1089,random,1,20262917,1,20260919,20,108,5,28;33;71;76;97,4,11100,11100,30,UNSAT,False,False,,301.05614291700476,1971.8185212079989,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide1_workers4,count1089,random,1,20262917,1,20260919,20,108,5,28;33;71;76;97,4,00010,00010,29,SAT,True,True,000102030405060708090A0B0C0D0E0F,405.1086932920007,2001.2731280830048,2247.9578224160014,105092,1723792
summary,count1089_random1_20_split5_divide1_workers4,count1089,random,1,20262917,1,20260919,20,108,5,28;33;71;76;97,4,00010,00010,29,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,405.1086932920007,2001.2990199579945,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,11000,11000,4,UNSAT,False,False,,225.37625649999245,225.65672250000353,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,11010,11010,1,UNSAT,False,False,,251.27973579098762,251.3246492090111,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,11101,11101,3,UNSAT,False,False,,266.6922274999961,266.8605013339984,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,11011,11011,2,UNSAT,False,False,,322.82380958298745,322.92389812500915,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,00001,00001,5,UNSAT,False,False,,249.9208425419929,475.6708665000042,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,01010,01010,6,UNSAT,False,False,,246.15855029199156,497.5654087090079,2247.9578224160014,105092,1723792
