Bity,Wzorzec,Czas_s,Status,Solver
18,random,130.9436,OK,Kissat404
19,first,113.3214,OK,Kissat404
19,last,75.7795,OK,Kissat404
19,every_2nd,75.2093,OK,Kissat404
19,every_4th,97.6435,OK,Kissat404
19,random,54.6729,OK,Kissat404
20,first,1443.5237,OK,Kissat404
20,last,20.5207,OK,Kissat404
20,every_2nd,22.1309,OK,Kissat404
20,every_4th,314.5151,OK,Kissat404
20,random,229.1551,OK,Kissat404
21,first,1479.7028,OK,Kissat404
21,last,432.9019,OK,Kissat404
21,every_2nd,221.5001,OK,Kissat404
21,every_4th,634.6867,OK,Kissat404
21,random,464.6554,OK,Kissat404
4,first,0.0122,OK,Kissat404
4,last,0.0097,OK,Kissat404
4,every_2nd,0.4281,OK,Kissat404
4,every_4th,0.3941,OK,Kissat404
4,random,0.2022,OK,Kissat404
8,first,1.1597,OK,Kissat404
8,last,0.0098,OK,Kissat404
8,every_2nd,0.7953,OK,Kissat404
8,every_4th,0.7167,OK,Kissat404
8,random,0.8250,OK,Kissat404
12,first,8.2581,OK,Kissat404
12,last,0.0099,OK,Kissat404
12,every_2nd,7.3779,OK,Kissat404
12,every_4th,7.6533,OK,Kissat404
12,random,12.1250,OK,Kissat404
16,first,81.3148,OK,Kissat404
16,last,123.0716,OK,Kissat404
16,every_2nd,139.1465,OK,Kissat404
16,every_4th,73.9330,OK,Kissat404
16,random,39.1846,OK,Kissat404
17,first,115.5234,OK,Kissat404
17,last,17.6463,OK,Kissat404
17,every_2nd,118.1466,OK,Kissat404
17,every_4th,25.1602,OK,Kissat404
17,random,203.7872,OK,Kissat404
18,first,150.4666,OK,Kissat404
18,last,23.6719,OK,Kissat404
18,every_2nd,105.7542,OK,Kissat404
18,every_4th,5.5960,OK,Kissat404
18,random,156.6550,OK,Kissat404
19,first,170.2886,OK,Kissat404
19,last,115.2923,OK,Kissat404
19,every_2nd,120.2270,OK,Kissat404
19,every_4th,149.3542,OK,Kissat404
19,random,80.9392,OK,Kissat404
20,first,2003.0811,OK,Kissat404
20,last,20.0840,OK,Kissat404
20,every_2nd,21.3990,OK,Kissat404
20,every_4th,319.5043,OK,Kissat404
20,random,308.4713,OK,Kissat404
4,first,0.0190,OK,Kissat404
4,last,0.0104,OK,Kissat404
4,every_2nd,0.4756,OK,Kissat404
4,every_4th,0.4890,OK,Kissat404
4,random,0.2217,OK,Kissat404
8,first,1.2133,OK,Kissat404
8,last,0.0103,OK,Kissat404
8,every_2nd,0.7764,OK,Kissat404
8,every_4th,0.7582,OK,Kissat404
8,random,0.8893,OK,Kissat404
12,first,7.9310,OK,Kissat404
12,last,0.0087,OK,Kissat404
12,every_2nd,6.8326,OK,Kissat404
