kat,position_mode,trial,seed,unknown_bits,known_bits,unknown_positions,build_time,solve_time,total_time,correct,recovered_key,variables,clauses
count545,random,1,20262917,20,108,8;19;25;28;33;41;43;54;63;70;71;76;97;99;103;105;109;115;122;126,1.4824920419996488,2809.848571875,2811.3343758749998,True,000102030405060708090A0B0C0D0E0F,62978,1033854
count545,random,2,20262918,20,108,3;7;14;33;38;45;53;59;62;64;66;67;74;77;82;87;94;95;112;117,1.457758957999431,2571.168862042,2572.629572833999,True,000102030405060708090A0B0C0D0E0F,62978,1033854
count545,random,3,20262919,20,108,3;4;7;9;15;23;38;39;40;52;75;85;87;90;102;103;109;110;114;125,1.4128372499999386,641.2950162499983,642.7111424160012,True,000102030405060708090A0B0C0D0E0F,62978,1033854
count1089,random,1,20261017,1,127,71,2.5596348340004624,16.42647804199987,18.991931833999843,True,000102030405060708090A0B0C0D0E0F,105092,1723811
count1089,random,2,20261018,1,127,51,2.6032481670008565,19.980691333999857,22.590366542000993,True,000102030405060708090A0B0C0D0E0F,105092,1723811
count1089,random,3,20261019,1,127,82,2.532890041000428,17.46133962500062,20.000799542000095,True,000102030405060708090A0B0C0D0E0F,105092,1723811
count1089,random,1,20261117,2,126,6;37,2.534132499999032,19.446592000000237,21.986594708001576,True,000102030405060708090A0B0C0D0E0F,105092,1723810
count1089,random,2,20261118,2,126,52;87,2.550003791000563,21.389635333000115,23.94538808299876,True,000102030405060708090A0B0C0D0E0F,105092,1723810
count1089,random,3,20261119,2,126,55;123,2.604588207999768,20.0070057920002,22.617233916998885,True,000102030405060708090A0B0C0D0E0F,105092,1723810
count1089,random,1,20261317,4,124,26;31;66;127,2.504117333000977,28.728532084000108,31.238495333000174,True,000102030405060708090A0B0C0D0E0F,105092,1723808
count1089,random,2,20261318,4,124,90;97;119;125,2.511586874999921,260.7934015840001,263.31109879200085,True,000102030405060708090A0B0C0D0E0F,105092,1723808
count1089,random,3,20261319,4,124,21;56;101;116,2.510893415999817,21.906363459000204,24.422892833999867,True,000102030405060708090A0B0C0D0E0F,105092,1723808
count1089,random,1,20261717,8,120,15;37;38;48;53;54;89;120,2.5439672090014938,29.126550584000142,31.67643104200033,True,000102030405060708090A0B0C0D0E0F,105092,1723804
count1089,random,2,20261718,8,120,6;19;32;69;75;92;102;123,2.5361055839985056,32.74058487500042,35.283301417000985,True,000102030405060708090A0B0C0D0E0F,105092,1723804
count1089,random,3,20261719,8,120,18;28;64;72;103;105;116;119,2.5343091249997087,29.606924082998376,32.14765387499938,True,000102030405060708090A0B0C0D0E0F,105092,1723804
count1089,random,1,20262517,16,112,17;21;23;30;43;49;53;56;58;62;74;82;85;94;110;119,2.558161042001302,226.39105341700088,228.95541358399896,True,000102030405060708090A0B0C0D0E0F,105092,1723796
count1089,random,2,20262518,16,112,5;16;17;32;33;35;37;46;65;76;77;79;90;91;113;116,2.5839501669997844,265.1613910830001,267.75134012499984,True,000102030405060708090A0B0C0D0E0F,105092,1723796
count1089,random,3,20262519,16,112,2;8;22;26;28;65;71;89;91;99;102;105;118;119;121;124,2.5044825000004494,220.72530874999939,223.23628195799938,True,000102030405060708090A0B0C0D0E0F,105092,1723796
count1089,random,1,20262917,20,108,8;19;25;28;33;41;43;54;63;70;71;76;97;99;103;105;109;115;122;126,2.5057018749994313,2247.9578224160014,2250.4703423749997,True,000102030405060708090A0B0C0D0E0F,105092,1723792
count1089,random,2,20262918,20,108,3;7;14;33;38;45;53;59;62;64;66;67;74;77;82;87;94;95;112;117,2.538428792000559,2053.4265930839993,2055.9716867080006,True,000102030405060708090A0B0C0D0E0F,105092,1723792
count1089,random,3,20262919,20,108,3;4;7;9;15;23;38;39;40;52;75;85;87;90;102;103;109;110;114;125,2.575023749999673,1882.0523522910007,1884.6340465419999,True,000102030405060708090A0B0C0D0E0F,105092,1723792
