kat,unknown_bits,known_bits,build_time,solve_time,total_time,correct,recovered_key,variables,clauses
count1,1,127,0.9651185000002442,7.552508417000354,8.519964834000348,True,000102030405060708090A0B0C0D0E0F,42180,689507
count1,2,126,0.9330492499993852,10.47530800000095,11.41045483400012,True,000102030405060708090A0B0C0D0E0F,42180,689506
count1,3,125,0.9131514170003356,11.392418417000954,12.307522958000845,True,000102030405060708090A0B0C0D0E0F,42180,689505
count1,4,124,0.9100718749996304,21.954053500001464,22.866107959000146,True,000102030405060708090A0B0C0D0E0F,42180,689504
count1,5,123,0.9654314999988856,18.475450542000544,19.442914417000793,True,000102030405060708090A0B0C0D0E0F,42180,689503
count1,6,122,0.9212658750002447,21.303836291999687,22.227062625001054,True,000102030405060708090A0B0C0D0E0F,42180,689502
count1,7,121,0.9278670000003331,19.691605875001187,20.62148470899956,True,000102030405060708090A0B0C0D0E0F,42180,689501
count1,8,120,0.9261649169984594,22.955433958999492,23.883549416999813,True,000102030405060708090A0B0C0D0E0F,42180,689500
count1,9,119,0.9401618749998306,26.831198042000324,27.773363292000795,True,000102030405060708090A0B0C0D0E0F,42180,689499
count1,10,118,0.8905544169992936,22.536597458998585,23.429240667001068,True,000102030405060708090A0B0C0D0E0F,42180,689498
count1,11,117,0.910704583999177,26.58090616699883,27.493588125000315,True,000102030405060708090A0B0C0D0E0F,42180,689497
count1,12,116,0.9286567909985024,41.78177679199871,42.71251504199972,True,000102030405060708090A0B0C0D0E0F,42180,689496
count1,13,115,0.8960938330001227,58.64713833300084,59.545217708000564,True,000102030405060708090A0B0C0D0E0F,42180,689495
count1,14,114,1.0003222089999326,57.04573120799978,58.04805083300016,True,000102030405060708090A0B0C0D0E0F,42180,689494
count1,15,113,0.890767541999594,67.2525507499995,68.14530837500024,True,000102030405060708090A0B0C0D0E0F,42180,689493
count1,16,112,0.9044088749997172,191.18764416699923,192.0940830419986,True,000102030405060708090A0B0C0D0E0F,42180,689492
count1,17,111,0.9287654170002497,568.1167922500008,569.0481175830009,True,000102030405060708090A0B0C0D0E0F,42180,689491
count1,18,110,1.0269715419999557,1179.4701286660002,1180.4998210410013,True,000102030405060708090A0B0C0D0E0F,42180,689490
count1,19,109,1.0473735420000594,1246.1902491250003,1247.2400815,True,000102030405060708090A0B0C0D0E0F,42180,689489
count1,20,108,0.9117448329998297,1329.029258790999,1329.943214208999,True,000102030405060708090A0B0C0D0E0F,42180,689488
count1,21,107,0.9139780420009629,1681.2952572910017,1682.2116500840002,True,000102030405060708090A0B0C0D0E0F,42180,689487
count545,1,127,1.4529005000003963,9.25571887499973,10.712042582999857,True,000102030405060708090A0B0C0D0E0F,62978,1033873
count545,2,126,1.4871530000018538,20.623592417003238,22.113433124999574,True,000102030405060708090A0B0C0D0E0F,62978,1033872
count545,3,125,1.43697612500182,13.438513500001136,14.87815991699972,True,000102030405060708090A0B0C0D0E0F,62978,1033871
count545,4,124,1.4624669580007321,13.391890582999622,14.856991291999293,True,000102030405060708090A0B0C0D0E0F,62978,1033870
count545,5,123,1.437058874998911,21.212373875001504,22.65216241699818,True,000102030405060708090A0B0C0D0E0F,62978,1033869
count545,6,122,1.628783416999795,22.252842249999958,23.884310541998275,True,000102030405060708090A0B0C0D0E0F,62978,1033868
count545,7,121,1.488708292003139,18.722804583998368,20.214366959000472,True,000102030405060708090A0B0C0D0E0F,62978,1033867
count545,8,120,2.201451499997347,36.94262745800006,39.149793083000986,True,000102030405060708090A0B0C0D0E0F,62978,1033866
count545,9,119,2.316031207999913,35.28715445800117,37.60647720899942,True,000102030405060708090A0B0C0D0E0F,62978,1033865
count545,10,118,2.185669874997984,37.196321084000374,39.38524820800012,True,000102030405060708090A0B0C0D0E0F,62978,1033864
count545,11,117,2.3439455420011654,34.541762625001866,36.89029233400288,True,000102030405060708090A0B0C0D0E0F,62978,1033863
count545,12,116,2.319734790999064,45.77939624999999,48.10400791700158,True,000102030405060708090A0B0C0D0E0F,62978,1033862
count545,13,115,2.3437593750022643,93.72725341700061,96.07522879200042,True,000102030405060708090A0B0C0D0E0F,62978,1033861
count545,14,114,2.9173698330014304,220.9233451250002,223.84490512499906,True,000102030405060708090A0B0C0D0E0F,62978,1033860
count545,15,113,2.677863500000967,246.1193734160006,248.80140679200122,True,000102030405060708090A0B0C0D0E0F,62978,1033859
count545,16,112,2.7208050829976855,446.13657624999905,448.86156208300235,True,000102030405060708090A0B0C0D0E0F,62978,1033858
count545,17,111,2.770399124998221,770.7764545419996,773.5496834579972,True,000102030405060708090A0B0C0D0E0F,62978,1033857
count545,18,110,1.492139333000523,507.0709266249978,508.56588866699894,True,000102030405060708090A0B0C0D0E0F,62978,1033856
count545,19,109,1.4589639999976498,1586.2842752920005,1587.7463898749993,True,000102030405060708090A0B0C0D0E0F,62978,1033855
count545,20,108,1.445280209001794,2802.266875249996,2803.715010041,True,000102030405060708090A0B0C0D0E0F,62978,1033854
count545,21,107,1.469252292001329,6750.038197542002,6751.510442499995,True,000102030405060708090A0B0C0D0E0F,62978,1033853
count545,22,106,1.4713532919995487,9085.091200542003,9086.566218416003,True,000102030405060708090A0B0C0D0E0F,62978,1033852
count1089,1,127,2.5251382080023177,21.07207875000313,23.603387416995247,True,000102030405060708090A0B0C0D0E0F,105092,1723811
count1089,2,126,2.4731109169952106,21.495944083988434,23.97584604199801,True,000102030405060708090A0B0C0D0E0F,105092,1723810
count1089,3,125,2.5177487909968477,27.32048525000573,29.844508458001656,True,000102030405060708090A0B0C0D0E0F,105092,1723809
count1089,4,124,2.467694457998732,23.675336250002147,26.148824500007322,True,000102030405060708090A0B0C0D0E0F,105092,1723808
count1089,5,123,2.607670707991929,30.38524616700306,32.99896762499702,True,000102030405060708090A0B0C0D0E0F,105092,1723807
count1089,6,122,2.8785462920059217,26.58493612500024,29.46980970801087,True,000102030405060708090A0B0C0D0E0F,105092,1723806
count1089,7,121,2.5898770420026267,46.465329166996526,49.0611912089953,True,000102030405060708090A0B0C0D0E0F,105092,1723805
count1089,8,120,2.822659500001464,49.38862675000564,52.21763299999293,True,000102030405060708090A0B0C0D0E0F,105092,1723804
count1089,9,119,2.755046582999057,40.391591541003436,43.15312108299986,True,000102030405060708090A0B0C0D0E0F,105092,1723803
count1089,10,118,2.789672207989497,30.555273958001635,33.35117454099236,True,000102030405060708090A0B0C0D0E0F,105092,1723802
count1089,11,117,2.438846333010588,41.37864941600128,43.82315066699812,True,000102030405060708090A0B0C0D0E0F,105092,1723801
count1089,12,116,2.4188935840065824,38.51384825000423,40.93922020900936,True,000102030405060708090A0B0C0D0E0F,105092,1723800
count1089,13,115,2.4441661659948295,87.60480558300333,90.0549062499922,True,000102030405060708090A0B0C0D0E0F,105092,1723799
count1089,14,114,2.454303083999548,102.18841354199685,104.64925137499813,True,000102030405060708090A0B0C0D0E0F,105092,1723798
count1089,15,113,2.485189833008917,135.63222029199824,138.12348375000875,True,000102030405060708090A0B0C0D0E0F,105092,1723797
count1089,16,112,2.411736124995514,274.8117494999897,277.2294070000062,True,000102030405060708090A0B0C0D0E0F,105092,1723796
count1089,17,111,2.558961292001186,384.786188958009,387.35104629199486,True,000102030405060708090A0B0C0D0E0F,105092,1723795
count1089,18,110,2.423409958006232,532.9334115839883,535.3643432920071,True,000102030405060708090A0B0C0D0E0F,105092,1723794
count1089,19,109,2.655235874990467,1621.881381166997,1624.5453169999964,True,000102030405060708090A0B0C0D0E0F,105092,1723793
count1089,20,108,2.5485285410104552,2441.074447792009,2443.630580792,True,000102030405060708090A0B0C0D0E0F,105092,1723792
count1089,21,107,2.5753869999898598,9604.047899500001,9606.633131333001,True,000102030405060708090A0B0C0D0E0F,105092,1723791
