kat,position_mode,trial,seed,unknown_bits,known_bits,unknown_positions,solver,build_time,solve_time,satisfiable,correct,recovered_key,variables,clauses,status,error
count1,random,1,20262517,16,112,17;21;23;30;43;49;53;56;58;62;74;82;85;94;110;119,Kissat404,0.9949479999995674,305.3332689999952,True,True,000102030405060708090A0B0C0D0E0F,42180,689492,OK,
count1,random,1,20262517,16,112,17;21;23;30;43;49;53;56;58;62;74;82;85;94;110;119,Cadical300,0.9949479999995674,950.7066770419988,True,True,000102030405060708090A0B0C0D0E0F,42180,689492,OK,
count1,random,1,20262517,16,112,17;21;23;30;43;49;53;56;58;62;74;82;85;94;110;119,Glucose42,0.9949479999995674,392.7450026669976,True,True,000102030405060708090A0B0C0D0E0F,42180,689492,OK,
count1,random,1,20262517,16,112,17;21;23;30;43;49;53;56;58;62;74;82;85;94;110;119,MapleChrono,0.9949479999995674,470.1070515829997,True,True,000102030405060708090A0B0C0D0E0F,42180,689492,OK,
count1,random,1,20262517,16,112,17;21;23;30;43;49;53;56;58;62;74;82;85;94;110;119,Mergesat3,0.9949479999995674,596.7920284580032,True,True,000102030405060708090A0B0C0D0E0F,42180,689492,OK,
count1089,random,1,20262517,16,112,17;21;23;30;43;49;53;56;58;62;74;82;85;94;110;119,Kissat404,2.752923041996837,221.790638708997,True,True,000102030405060708090A0B0C0D0E0F,105092,1723796,OK,
count1089,random,1,20262517,16,112,17;21;23;30;43;49;53;56;58;62;74;82;85;94;110;119,Glucose42,2.6944853749882895,1800.0350396669965,False,False,,105092,1723796,TIMEOUT,Exceeded timeout of 1800 seconds
count1089,random,1,20262517,16,112,17;21;23;30;43;49;53;56;58;62;74;82;85;94;110;119,MapleChrono,2.6944853749882895,1800.0268573750072,False,False,,105092,1723796,TIMEOUT,Exceeded timeout of 1800 seconds
