row_type,experiment,kat,position_mode,unknown_bits,known_bits,split_bits,split_positions,max_workers,divide_trial,divide_seed,branch_id,assignment,branch_order,status,satisfiable,correct,recovered_key,branch_solve_time,experiment_wall_time,baseline_solve_time,speedup,variables,clauses
summary,count1089_last_20_split5_divide3_workers8,count1089,last,20,108,5,108;112;114;116;126,8,3,20262922,10011,10011,27,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,377.0267782090232,1765.4770915830159,2441.074447792009,1.382671267404109,105092,1723792
summary,count1089_last_21_split5_divide1_workers8,count1089,last,21,107,5,111;115;118;124;126,8,1,20263020,10111,10111,28,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,556.3676997500006,2254.961562917015,9604.047899500001,4.259073882871963,105092,1723791
summary,count1089_last_21_split5_divide2_workers8,count1089,last,21,107,5,107;109;115;117;121,8,2,20263021,01010,01010,32,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,451.07974500002456,2199.384826041991,9604.047899500001,4.366697353633847,105092,1723791
summary,count1089_last_21_split5_divide3_workers8,count1089,last,21,107,5,109;113;120;121;123,8,3,20263022,10000,10000,24,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,297.92502362502273,1602.0908039170026,9604.047899500001,5.994696353052373,105092,1723791
summary,count1089_last_22_split5_divide1_workers8,count1089,last,22,106,5,111;113;118;120;125,8,1,20263120,10101,10101,21,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,1738.8570368340006,4302.444712707977,,,105092,1723790
summary,count1089_last_22_split5_divide2_workers8,count1089,last,22,106,5,108;113;114;120;127,8,2,20263121,10001,10001,6,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,1125.5933407910052,1126.2077567499946,,,105092,1723790
summary,count1089_last_22_split5_divide3_workers8,count1089,last,22,106,5,111;112;117;123;126,8,3,20263122,10101,10101,19,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,1189.4762415000005,3357.923440915998,,,105092,1723790
summary,count1089_last_24_split5_divide1_workers8,count1089,last,24,104,5,112;113;116;118;125,8,1,20263320,00111,00111,9,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,3710.753602667013,7087.734490000003,,,105092,1723788
summary,count1089_last_24_split5_divide2_workers8,count1089,last,24,104,5,105;107;112;113;115,8,2,20263321,00000,00000,28,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,4192.261803625006,20025.42623254101,,,105092,1723788
summary,count1089_last_24_split5_divide3_workers8,count1089,last,24,104,5,105;120;121;124;125,8,3,20263322,00011,00011,30,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,941.3163418750046,12195.936797666975,,,105092,1723788
