unknown_byte_count,unknown_bits,cases,sat,timeouts,errors,correct,candidate_valid,mean,median,min,max,stdev
1,8,5,5,0,0,5,5,5.322973025199644,5.52538208399983,4.60372174999975,5.98508079199928,0.5819272301290146
2,16,5,5,0,0,5,5,36.72543384159999,31.794009582999934,16.151675457999772,73.76037754200024,21.912077357723316
3,24,5,0,5,0,0,0,,,,,
