split_bits,branches,trials,avg_wall_time_s,min_wall_time_s,max_wall_time_s
3,8,3,1006.0678198890042,932.2081182920083,1069.120708625007
4,16,3,926.0470277639979,578.5158546250022,1127.8686698749952
5,32,3,566.1047992086678,256.206694374996,1041.6793178340013
6,64,3,758.835916458338,501.07395495902165,941.2172734579945
