workers,wall_time_s,baseline_solve_time_s,speedup_vs_single_kissat
1,3061.6358032920107,2247.9578224160014,0.7342342351754884
2,1679.2766753339965,2247.9578224160014,1.338646487166207
4,1447.6490218340186,2247.9578224160014,1.5528334482401513
6,1330.8873766670004,2247.9578224160014,1.6890669051544096
8,1041.6793178340013,2247.9578224160014,2.158013300187485
